generated_question,generated_answer
Quem é o Reitor em exercício da Unicamp?,Maria Luiza Moretti
Quantas vagas regulares estão sendo oferecidas para o ingresso nos Cursos de Graduação da Unicamp em 2024?,3340 vagas regulares
Quais são os sistemas de ingresso à Graduação mencionados no documento?,"Vestibular Unicamp (VU) 2024, Edital ENEM-Unicamp 2024, Provão Paulista 2024, Vestibular Indígena (VI) 2024, Edital de olimpíadas científicas e competições de conhecimento de áreas específicas"
Quantas vagas estão sendo oferecidas pelo Vestibular Indígena (VI) 2024?,49 vagas
"As vagas regulares não preenchidas nos sistemas de ingresso II, III, IV e V serão transferidas para qual sistema?",VU 2024 (Vestibular Unicamp 2024)
O que acontece com as vagas adicionais nos sistemas de ingresso IV e V?,As 95 vagas adicionais indicadas nos incisos IV e V terão preenchimento facultativo e não serão transferidas para o VU 2024.
O que acontece se houver cancelamento dos sistemas de ingresso mencionados?,As vagas regulares serão transferidas para o Vestibular Unicamp e haverá reserva de vagas e critérios que cumpram as mesmas exigências para atender a Deliberação CONSU-A-032/2017.
"O que é necessário para a publicação de um adendo ao edital, com acréscimo de vagas?",Não é necessária a reabertura de inscrições.
Quais são os objetivos do VU 2024 de acordo com a Resolução?,I. Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp. II. Verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino Médio. III. Avaliar a aptidão e o potencial dos candidatos(as) para o curso superior em que pretendem ingressar. IV. Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.
Quais aspectos serão avaliados no VU 2024 de acordo com a Resolução?,"I. Capacidade de se expressar com clareza. II. Capacidade de organizar suas ideias. III. Capacidade de estabelecer relações. IV. Capacidade de interpretar dados e fato. V. Capacidade de elaborar hipóteses. VI. Domínio dos conteúdos das áreas de conhecimento desenvolvidas no Ensino Médio. VII. Capacidade de relacionar e interpretar informações de caráter interdisciplinar, a partir das áreas de conhecimento presentes no Ensino Médio."
Quem pode se inscrever no VU 2024 de acordo com a Resolução?,I. Ser portador(a) de certificado de conclusão de Ensino Médio ou equivalente. II. Estar cursando o Ensino Médio ou equivalente. III. Ser portador(a) de diploma de curso superior.
Quem é responsável pela realização do VU 2024 de acordo com a Resolução?,A Comissão Permanente para os Vestibulares da Unicamp (Comvest).
Onde os candidatos podem encontrar o Manual do Ingresso contendo informações necessárias sobre o VU 2024?,"O Manual do Ingresso pode ser acessado eletronicamente no site da Comvest, www.comvest.unicamp.br, a partir de 31 de julho de 2023."
Como será feito o ingresso nos Cursos de Graduação por meio do VU 2024?,"O ingresso será feito mediante processo classificatório, com aproveitamento dos(as) candidatos(as) até o limite das vagas fixadas para cada curso, obedecidas as normas da presente Resolução e informadas no Anexo I."
Quais são as condições facultadas aos inscritos no VU 2024?,A bonificação prevista no Programa de Ação Afirmativa e Inclusão Social (PAAIS) e a reserva de vagas (cotas) para autodeclarados pretos e pardos.
Qual é a proporção mínima de vagas destinada a candidatos autodeclarados pretos e pardos em cada curso?,"A proporção mínima é de 15% das vagas regulares em cada curso ou, se for o caso, até 27,2% das vagas."
O que acontece com as vagas não preenchidas por reserva para autodeclarados pretos e pardos?,Elas serão ocupadas pelos demais candidatos inscritos.
O que os candidatos devem fazer para ter direito à ação afirmativa por critério étnico-racial?,"Devem possuir traços fenotípicos que os caracterizem como negros, de cor preta ou parda, e preencher o campo específico de autodeclaração no formulário de inscrição."
O que acontece com os candidatos com autodeclarações não validadas pela Comissão de Averiguação?,"Eles serão excluídos do VU 2024 sem a possibilidade de concorrer pela ampla concorrência, exceto nos casos indicados no § 5º do artigo."
Quais são as formas de realização do ciclo escolar aceitas pelo Programa de Ação Afirmativa e Inclusão Social (PAAIS) de acordo com a Resolução?,"I. Conclusão do Ensino Fundamental II e/ou Ensino Médio regular em escolas públicas (federal, estadual ou municipal). II. Conclusão do Ensino Médio Supletivo ou EJA em modalidades presenciais, semipresenciais e a distância em escolas públicas, desde que não tenha frequentado escolas privadas, mesmo como bolsista. III. Conclusão do Ensino Médio por meio de Exames Nacionais de Certificação, como o ENEM até 2016 e o ENCCEJA, desde que não tenha frequentado escolas privadas, mesmo como bolsista."
O que acontece se um candidato não apresentar os documentos comprobatórios exigidos no artigo 34?,"Ele estará eliminado do VU 2024 e terá a matrícula na Unicamp negada, não sendo possível abdicar dos pontos do PAAIS de maneira que estes sejam retirados do cômputo da nota."
Quem não pode ser beneficiado pelo PAAIS de acordo com a Resolução?,"Candidatos elegíveis incluem aqueles que frequentaram escolas privadas fundacionais, escolas do Sistema S (SENAI, SESI e SENAC) durante o ensino médio, escolas públicas no exterior durante o ensino fundamental II e/ou ensino médio, e escolas híbridas (públicas e privadas) administradas por convênios ou acordos semelhantes com entidades privadas, mesmo na condição de bolsistas."
Qual é o período para inscrições no VU 2024?,O período para inscrições é de 31 de julho a 31 de agosto de 2023.
Quais são as formas de identificação aceitas durante a realização das provas?,"Será aceito o número do CPF do(a) candidato(a), assim como um documento de identificação com fotografia, podendo ser cédula de identidade (RG), passaporte, Carteira de Registro Nacional Migratório, carteira expedida por Ordens ou Conselhos reconhecidos por lei ou Carteira Nacional de Habilitação."
O que acontece se um candidato se recusar a seguir o procedimento de identificação durante a realização das provas?,"A recusa a esse procedimento acarretará a anulação da prova e, portanto, a eliminação do(a) candidato(a) do VU 2024."
Como os candidatos com deficiência ou em condições que exigem recursos específicos devem informar suas necessidades?,"Eles devem informar suas necessidades no Formulário de Inscrição, e a documentação necessária para a solicitação e as formas de atendimento estão descritas no Anexo VI."
Qual é o valor da Taxa de Inscrição para o VU 2024?,"A Taxa de Inscrição é de R$ 192,00 (cento e noventa e dois reais)."
Qual é o período em que a Comvest receberá solicitações de redução parcial da Taxa de Inscrição do VU 2024?,"A Comvest receberá solicitações de redução parcial da Taxa de Inscrição entre 9 horas do dia 02 de agosto e 17 horas do dia 04 de agosto de 2023, nos termos da Lei estadual nº 12.782, de 20 de dezembro de 2007."
