generated_question,generated_answer,model_answer,model_answer_score
Qual é o objetivo do Vestibular Unicamp 2024?,O VU 2024 tem por objetivos: I. Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp. II. Verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino Médio. III. Avaliar a aptidão e o potencial dos candidatos(as) para o curso superior em que pretendem ingressar. IV. Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.,"O objetivo do Vestibular Unicamp 2024, de acordo com o Art. 3º da Resolução GR-031/2023, é:
I. Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp.
II. Verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino Médio.
III. Avaliar a aptidão e o potencial dos candidatos(as) para o curso superior em que pretendem ingressar.
IV. Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.",964
Quais são os critérios de avaliação no Vestibular Unicamp 2024?,"Para alcançar os objetivos estabelecidos, o VU 2024 avaliará os(as) candidatos(as) nos seguintes aspectos: I. Capacidade de se expressar com clareza. II. Capacidade de organizar suas ideias. III. Capacidade de estabelecer relações. IV. Capacidade de interpretar dados e fato. V. Capacidade de elaborar hipóteses. VI. Domínio dos conteúdos das áreas de conhecimento desenvolvidas no Ensino Médio. VII. Capacidade de relacionar e interpretar informações de caráter interdisciplinar, a partir das áreas de conhecimento presentes no Ensino Médio.","Os critérios de avaliação do Vestibular Unicamp 2024, de acordo com o Art. 3º da Resolução GR-031/2023, são os seguintes:

1. Capacidade de se expressar com clareza.
2. Capacidade de organizar suas ideias.
3. Capacidade de estabelecer relações.
4. Capacidade de interpretar dados e fatos.
5. Capacidade de elaborar hipóteses.
6. Domínio dos conteúdos das áreas de conhecimento desenvolvidas no Ensino Médio.",912
Quem pode se inscrever no Vestibular Unicamp 2024?,Poderá se inscrever no VU 2024 o(a) candidato(a) que satisfizer a uma das seguintes condições: I. Ser portador(a) de certificado de conclusão de Ensino Médio ou equivalente. II. Estar cursando o Ensino Médio ou equivalente. III. Ser portador(a) de diploma de curso superior.,"Podem se inscrever no Vestibular Unicamp 2024 os candidatos que tenham concluído curso de graduação ou pós-graduação em Instituições de Ensino Superior públicas brasileiras (municipais, estaduais ou federais).",682
Quantas vagas são oferecidas pelo Vestibular Unicamp 2024?,São oferecidas 2537 vagas pelo Vestibular Unicamp (VU) 2024.,O Vestibular Unicamp 2024 oferece 2537 vagas.,945
Onde posso encontrar informações sobre o Vestibular Unicamp 2024?,"O Manual do Ingresso, contendo todas as informações necessárias relativas ao VU 2024, pode ser acessado eletronicamente no site da Comvest, www.comvest.unicamp.br, a partir de 31 de julho de 2023.","As informações sobre as vagas oferecidas pelo Vestibular Unicamp 2024 podem ser encontradas no Manual do Ingresso, disponível na página da Comvest (www.comvest.unicamp.br). O Manual do Ingresso contém todas as informações necessárias relativas ao Vestibular Unicamp 2024 e estará disponível eletronicamente no site da Comvest a partir de 31 de julho de 2023.",876
Como é feito o ingresso nos cursos de graduação na Unicamp através do VU 2024?,"O ingresso nos cursos de graduação por meio do VU 2024 será feito mediante processo classificatório, com aproveitamento dos candidatos até o limite das vagas fixadas para cada curso, obedecendo às normas da Resolução e ao Anexo I.","O ingresso nos cursos de graduação na Unicamp através do VU 2024 será feito mediante um processo classificatório. Os candidatos serão classificados em ordem decrescente e serão aproveitados até o limite das vagas fixadas para cada curso. As informações necessárias sobre o VU 2024, incluindo os requisitos, a documentação necessária e as demais orientações, estão descritas no Manual do Ingresso, que estará disponível eletronicamente no site da Comvest a partir de 31 de julho de 2023. Além disso, o VU 2024 será realizado em duas fases, com provas de Habilidades Específicas para alguns cursos. A primeira fase será realizada no dia 29 de outubro de 2023, e a segunda fase nos dias 03 e 04 de dezembro de 2023.",617
Qual é a proporção mínima de vagas regulares reservada para candidatos autodeclarados pretos e pardos?,"Os candidatos autodeclarados pretos e pardos concorrerão a uma proporção mínima de 15% das vagas regulares em cada curso, ou, se for o caso, até 27,2% das vagas, conforme o Anexo III.",A proporção mínima de vagas regulares reservada para candidatos autodeclarados pretos e pardos no VU 2024 da Unicamp é de 15%.,588
Quais são as formas de realização do ciclo escolar aceitas pelo PAAIS?,"As formas de realização do ciclo escolar aceitas pelo PAAIS são: I. Ensino Fundamental II (5ª a 8ª série ou 6º ao 9º ano do EFII) e/ou Ensino Médio regular (1ª à 3ª série do Ensino Médio) cumpridos integralmente em estabelecimentos da rede pública brasileira (federal, estadual, municipal). II. Ensino Médio Supletivo ou EJA nas modalidades presencial, semipresencial e a distância, cumprido integralmente na rede pública brasileira (federal, estadual, municipal), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista. III. Conclusão do Ensino Médio por meio de Exames Nacionais de Certiﬁcação como o ENEM – até o ano de 2016 – e o Exame Nacional para Certiﬁcação de Competências de Jovens e Adultos (ENCCEJA), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista.","As formas de realização do ciclo escolar aceitas pelo Programa de Ação Afirmativa e Inclusão Social (PAAIS) são:

1. Ensino Fundamental II (5ª a 8ª série ou 6º ao 9º ano do EFII) e/ou Ensino Médio regular (1ª à 3ª série do Ensino Médio) cumpridos integralmente em estabelecimentos da rede pública brasileira (federal, estadual, municipal).

2. Ensino Médio Supletivo ou EJA nas modalidades presencial, semipresencial e a distância, cumprido integralmente na rede pública brasileira (federal, estadual, municipal), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista.",928
Qual é o valor da taxa de inscrição para o VU 2024?,"A taxa de inscrição para o VU 2024 será de R$ 192,00 (cento e noventa e dois reais).","O valor da taxa de inscrição para o VU 2024 é de R$ 192,00 (cento e noventa e dois reais).",968
Quais cursos terão provas de Habilidades Específicas no VU 2024?,"Arquitetura e Urbanismo, Artes Cênicas, Artes Visuais, Dança e Cursos de Música.","Os cursos que terão provas de Habilidades Específicas no VU 2024 são: Arquitetura e Urbanismo, Artes Cênicas, Artes Visuais, Dança e Cursos de Música.",953
