generated_question,generated_answer,model_answer,model_answer_score
Quem é o Reitor em exercício da Unicamp?,Maria Luiza Moretti,O Reitor em exercício da Unicamp é Maria Luiza Moretti.,1000
Quantas vagas regulares estão sendo oferecidas para o ingresso nos Cursos de Graduação da Unicamp em 2024?,3340 vagas regulares,Estão sendo oferecidas 3340 vagas regulares para o ingresso nos Cursos de Graduação da Unicamp em 2024.,1000
Quais são os sistemas de ingresso à Graduação mencionados no documento?,"Vestibular Unicamp (VU) 2024, Edital ENEM-Unicamp 2024, Provão Paulista 2024, Vestibular Indígena (VI) 2024, Edital de olimpíadas científicas e competições de conhecimento de áreas específicas","Os sistemas de ingresso à Graduação mencionados no documento são: Vestibular Unicamp, Edital ENEM-Unicamp, Vestibular Indígena e Edital ""Vagas Olímpicas"".",627
Quantas vagas estão sendo oferecidas pelo Vestibular Indígena (VI) 2024?,49 vagas,"O Vestibular Indígena (VI) está oferecendo 49 vagas em 2024. Além disso, haverá 81 vagas adicionais, conforme Edital a ser publicado.",949
"As vagas regulares não preenchidas nos sistemas de ingresso II, III, IV e V serão transferidas para qual sistema?",VU 2024 (Vestibular Unicamp 2024),"As vagas regulares não preenchidas nos sistemas de ingresso II, III, IV e V serão transferidas para o Vestibular Unicamp.",535
O que acontece com as vagas adicionais nos sistemas de ingresso IV e V?,As 95 vagas adicionais indicadas nos incisos IV e V terão preenchimento facultativo e não serão transferidas para o VU 2024.,"As vagas adicionais nos sistemas de ingresso IV e V não serão transferidas para o Vestibular Unicamp 2024. Elas terão preenchimento facultativo, conforme estabelecido no §2º do art. 10 da Deliberação CONSU-A-032/2017.",874
O que acontece se houver cancelamento dos sistemas de ingresso mencionados?,As vagas regulares serão transferidas para o Vestibular Unicamp e haverá reserva de vagas e critérios que cumpram as mesmas exigências para atender a Deliberação CONSU-A-032/2017.,Não é mencionado no contexto quais seriam as consequências específicas do cancelamento dos sistemas de ingresso mencionados.,387
"O que é necessário para a publicação de um adendo ao edital, com acréscimo de vagas?",Não é necessária a reabertura de inscrições.,Não há informações específicas sobre os requisitos para a publicação de um adendo ao edital com acréscimo de vagas no contexto fornecido.,600
Quais são os objetivos do VU 2024 de acordo com a Resolução?,I. Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp. II. Verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino Médio. III. Avaliar a aptidão e o potencial dos candidatos(as) para o curso superior em que pretendem ingressar. IV. Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.,"Os objetivos do VU 2024, de acordo com a Resolução, são:

I. Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp.
II. Verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino Médio.
III. Avaliar a aptidão e o potencial dos candidatos(as) para o curso superior em que pretendem ingressar.
IV. Interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.",985
Quais aspectos serão avaliados no VU 2024 de acordo com a Resolução?,"I. Capacidade de se expressar com clareza. II. Capacidade de organizar suas ideias. III. Capacidade de estabelecer relações. IV. Capacidade de interpretar dados e fato. V. Capacidade de elaborar hipóteses. VI. Domínio dos conteúdos das áreas de conhecimento desenvolvidas no Ensino Médio. VII. Capacidade de relacionar e interpretar informações de caráter interdisciplinar, a partir das áreas de conhecimento presentes no Ensino Médio.","De acordo com a Resolução, o Vestibular Unicamp 2024 avaliará os candidatos nos seguintes aspectos:

1. Capacidade de se expressar com clareza.
2. Capacidade de organizar suas ideias.
3. Capacidade de estabelecer relações.
4. Capacidade de interpretar dados e fatos.
5. Capacidade de elaborar hipóteses.
6. Domínio dos conteúdos das áreas de conhecimento desenvolvidas no Ensino Médio.
7. Capacidade de relacionar e interpretar informações de caráter interdisciplinar, a partir das áreas de conhecimento presentes no Ensino Médio.

Esses aspectos serão avaliados para classificar e selecionar candidatos adequados ao perfil de estudantes desejado pela Unicamp, verificar o domínio do conhecimento desenvolvido pelos candidatos nas diversas formas de educação do Ensino Médio, avaliar a aptidão e o potencial dos candidatos para o curso superior em que pretendem ingressar, e contribuir para o aprimoramento da educação básica.",968
